afg;7;2
ago;7;1
alb;7;1
and;7;1
are;7;1
arg;7;1
arm;7;1
atg;7;1
aus;7;1
aut;7;1
aze;7;1
bdi;7;3
bel;7;3
ben;7;1
bfa;7;4
bgd;7;1
bgr;7;1
bhr;7;1
bhs;7;1
bih;7;3
blr;7;2
blz;7;1
bol;7;37
bra;7;1
brb;7;1
brn;7;1
btn;7;1
bwa;7;1
caf;7;2
can;7;2
che;7;4
chl;7;1
chn;7;1
civ;7;1
cmr;7;2
cod;7;1
cog;7;1
col;7;1
com;7;3
cpv;7;1
cri;7;1
cub;7;1
cyp;7;2
cze;7;2
deu;7;1
dji;7;2
dma;7;1
dnk;7;1
dom;7;1
dza;7;2
ecu;7;1
egy;7;1
eri;7;1
esp;7;1
est;7;1
eth;7;5
fin;7;2
fji;7;3
fra;7;1
fsm;7;1
gab;7;1
gbr;7;1
geo;7;1
gha;7;1
gin;7;1
gmb;7;1
gnb;7;1
gnq;7;3
grc;7;1
grd;7;1
gtm;7;1
guy;7;1
hnd;7;1
hrv;7;1
hti;7;2
hun;7;1
idn;7;1
ind;7;22
irl;7;2
irn;7;1
irq;7;2
isl;7;2
isr;7;1
ita;7;1
jam;7;1
jor;7;1
jpn;7;1
kaz;7;2
ken;7;2
kgz;7;2
khm;7;1
kir;7;2
kna;7;1
kor;7;2
kwt;7;1
lao;7;1
lbn;7;1
lbr;7;1
lby;7;1
lca;7;1
lie;7;1
lka;7;2
lso;7;2
ltu;7;1
lux;7;3
lva;7;1
mar;7;2
mco;7;1
mda;7;1
mdg;7;2
mdv;7;1
mex;7;1
mhl;7;2
mkd;7;2
mli;7;13
mlt;7;2
mmr;7;1
mne;7;1
mng;7;1
moz;7;1
mrt;7;1
mus;7;2
mwi;7;2
mys;7;1
nam;7;1
ner;7;1
nga;7;1
nic;7;1
nld;7;1
nor;7;2
npl;7;1
nru;7;2
nzl;7;3
omn;7;1
pak;7;2
pan;7;1
per;7;1
phl;7;2
plw;7;2
png;7;4
pol;7;1
prk;7;1
prt;7;1
pry;7;2
qat;7;1
rou;7;1
rus;7;1
rwa;7;4
sau;7;1
sdn;7;2
sen;7;1
sgp;7;4
slb;7;1
sle;7;1
slv;7;1
smr;7;1
som;7;2
srb;7;1
ssd;7;1
stp;7;1
sur;7;1
svk;7;1
svn;7;1
swe;7;1
swz;7;2
syc;7;3
syr;7;1
tcd;7;2
tgo;7;1
tha;7;1
tjk;7;1
tkm;7;1
tls;7;2
ton;7;2
tto;7;1
tun;7;1
tur;7;1
tuv;7;2
tza;7;2
uga;7;2
ukr;7;1
ury;7;2
usa;7;1
uzb;7;1
vat;7;2
vct;7;1
ven;7;2
vnm;7;1
vut;7;3
wsm;7;2
yem;7;1
zaf;7;11
zmb;7;1
zwe;7;16
