country,parameter,value
abw,1,106277
afe,1,739108306
afg,1,42239854
afw,1,502789511
ago,1,36684202
alb,1,2745972
and,1,80088
arb,1,473272080
are,1,9516871
arg,1,46654581
arm,1,2777970
asm,1,43914
atg,1,94298
aus,1,26638544
aut,1,9132383
aze,1,10112555
bdi,1,13238559
bel,1,11822592
ben,1,13712828
bfa,1,23251485
bgd,1,172954319
bgr,1,6430370
bhr,1,1485509
bhs,1,412623
bih,1,3210847
blr,1,9178298
blz,1,410825
bmu,1,63489
bol,1,12388571
bra,1,216422446
brb,1,281995
brn,1,452524
btn,1,787424
bwa,1,2675352
caf,1,5742315
can,1,40097761
ceb,1,100156608
che,1,8849852
chi,1,175346
chl,1,19629590
chn,1,1410710000
civ,1,28873034
cmr,1,28647293
cod,1,102262808
cog,1,6106869
col,1,52085168
com,1,852075
cpv,1,598682
cri,1,5212173
css,1,3167738
cub,1,11194449
cuw,1,147862
cym,1,69310
cyp,1,1260138
cze,1,10873689
deu,1,84482267
dji,1,1136455
dma,1,73040
dnk,1,5946952
dom,1,11332972
dza,1,45606480
eap,1,2133652241
ear,1,3486290439
eas,1,2380601170
eca,1,247474425
ecs,1,923929755
ecu,1,18190484
egy,1,112716598
emu,1,350357398
eri,1,3748901
esp,1,48373336
est,1,1366188
eth,1,126527060
euu,1,449476878
fcs,1,1042703808
fin,1,5584264
fji,1,936375
fra,1,68170228
fro,1,53270
fsm,1,115224
gab,1,2436566
gbr,1,68350000
geo,1,3760365
gha,1,34121985
gib,1,32688
gin,1,14190612
gmb,1,2773168
gnb,1,2150842
gnq,1,1714671
grc,1,10361295
grd,1,126183
grl,1,56865
gtm,1,17602431
gum,1,172952
guy,1,813834
hic,1,1403021503
hkg,1,7536100
hnd,1,10593798
hpc,1,907995430
hrv,1,3853200
hti,1,11724763
hun,1,9589872
ibd,1,4937047867
ibt,1,6819750360
ida,1,1882702493
idb,1,622553200
idn,1,277534122
idx,1,1260149293
imn,1,84710
ind,1,1428627663
inx,1,
irl,1,5262382
irn,1,89172767
irq,1,45504560
isl,1,393600
isr,1,9756700
ita,1,58761146
jam,1,2825544
jor,1,11337052
jpn,1,124516650
kaz,1,19900177
ken,1,55100586
kgz,1,7100800
khm,1,16944826
kir,1,133515
kna,1,47755
kor,1,51712619
kwt,1,4310108
lac,1,600825676
lao,1,7633779
lbn,1,5353930
lbr,1,5418377
lby,1,6888388
lca,1,180251
lcn,1,664155299
ldc,1,1150346774
lic,1,722984063
lie,1,39584
lka,1,22037000
lmc,1,3059564861
lmy,1,6593137026
lso,1,2330318
lte,1,2326833223
ltu,1,2871897
lux,1,668606
lva,1,1881750
mac,1,704149
maf,1,32077
mar,1,37840044
mco,1,36297
mda,1,2486891
mdg,1,30325732
mdv,1,521021
mea,1,500787313
mex,1,128455567
mhl,1,41996
mic,1,5870152963
mkd,1,1811980
mli,1,23293698
mlt,1,553214
mmr,1,54577997
mna,1,430857111
mne,1,616177
mng,1,3447157
mnp,1,49796
moz,1,33897354
mrt,1,4862989
mus,1,1261041
mwi,1,20931751
mys,1,34308525
nac,1,375076145
nam,1,2604172
ncl,1,267940
ner,1,27202843
nga,1,223804632
nic,1,7046310
nld,1,17879488
nor,1,5519594
npl,1,30896590
nru,1,12780
nzl,1,5223100
oed,1,1385005653
omn,1,4644384
oss,1,14240737
pak,1,240485658
pan,1,4468087
per,1,34352719
phl,1,117337368
plw,1,18058
png,1,10329931
pol,1,36685849
pre,1,1065710613
pri,1,3205691
prk,1,26160821
prt,1,10525347
pry,1,6861524
pse,1,5165775
pss,1,2677728
pst,1,1119478514
pyf,1,308872
qat,1,2716391
rou,1,19056116
rus,1,143826130
rwa,1,14094683
sas,1,1938549529
sau,1,36947025
sdn,1,48109006
sen,1,17763163
sgp,1,5917648
slb,1,740424
sle,1,8791092
slv,1,6364943
smr,1,33642
som,1,18143378
srb,1,6618026
ssa,1,1241778044
ssd,1,11088796
ssf,1,1241897817
sst,1,20086203
stp,1,231856
sur,1,623236
svk,1,5426740
svn,1,2120937
swe,1,10536632
swz,1,1210822
sxm,1,41163
syc,1,119773
syr,1,23227014
tca,1,46062
tcd,1,18278568
tea,1,2107522258
tec,1,457326090
tgo,1,9053799
tha,1,71801279
tjk,1,10143543
tkm,1,6516100
tla,1,648763330
tls,1,1360596
tmn,1,425691336
ton,1,107773
tsa,1,1938549529
tss,1,1241897817
tto,1,1534937
tun,1,12458223
tur,1,85326000
tuv,1,11396
tza,1,67438106
uga,1,48582334
ukr,1,37000000
umc,1,2810588102
ury,1,3423108
usa,1,334914895
uzb,1,36412350
vct,1,103698
ven,1,28838499
vgb,1,31538
vir,1,104917
vnm,1,98858950
vut,1,334506
wld,1,8024997028
wsm,1,225681
xkx,1,1756374
yem,1,34449825
zaf,1,60414495
zmb,1,20569737
zwe,1,16665409
vat,1,764
